OD,OD FULL (CODE COMMUNE),NOM_COM_START,NOM_COM_END,Nombre,CENTROID_COM_START_X,CENTROID_COM_START_Y,CENTROID_COM_END_X,CENTROID_COM_END_Y,WAYPOINT_X,WAYPOINT_Y,WIDTH,WKT
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69290 -> 69387,Saint-Priest,Lyon 7e Arrondissement,368,4.9489228896489,45.7017753082431,4.83736856178182,45.7334291759191,4.842077,45.721641,36.8,"LINESTRING(4.9489228896489 45.7017753082431,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69259,Lyon 7e Arrondissement,Vénissieux,357,4.83736856178182,45.7334291759191,4.88119698352709,45.7042422660472,4.842077,45.721641,35.7,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.88119698352709 45.7042422660472)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69259 -> 69387,Vénissieux,Lyon 7e Arrondissement,335,4.88119698352709,45.7042422660472,4.83736856178182,45.7334291759191,4.842077,45.721641,33.5,"LINESTRING(4.88119698352709 45.7042422660472,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69290,Lyon 7e Arrondissement,Saint-Priest,295,4.83736856178182,45.7334291759191,4.9489228896489,45.7017753082431,4.842077,45.721641,29.5,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.9489228896489 45.7017753082431)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69290,Lyon 8e Arrondissement,Saint-Priest,287,4.86928073743304,45.7339241974647,4.9489228896489,45.7017753082431,4.881232,45.732687,28.7,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.9489228896489 45.7017753082431)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69290 -> 69388,Saint-Priest,Lyon 8e Arrondissement,228,4.9489228896489,45.7017753082431,4.86928073743304,45.7339241974647,4.881232,45.732687,22.8,"LINESTRING(4.9489228896489 45.7017753082431,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69290 -> 69383,Saint-Priest,Lyon 3e Arrondissement,224,4.9489228896489,45.7017753082431,4.86938666205072,45.7533324518969,4.881232,45.732687,22.4,"LINESTRING(4.9489228896489 45.7017753082431,4.881232 45.732687,4.86938666205072 45.7533324518969)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69259 -> 69382,Vénissieux,Lyon 2e Arrondissement,183,4.88119698352709,45.7042422660472,4.82563546201978,45.7484198223014,4.842077,45.721641,18.3,"LINESTRING(4.88119698352709 45.7042422660472,4.842077 45.721641,4.82563546201978 45.7484198223014)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69029,Lyon 8e Arrondissement,Bron,180,4.86928073743304,45.7339241974647,4.91194010503519,45.7346725078783,4.881232,45.732687,18,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.91194010503519 45.7346725078783)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69266 -> 69387,Villeurbanne,Lyon 7e Arrondissement,174,4.88899121468023,45.7710534332504,4.83736856178182,45.7334291759191,4.842077,45.721641,17.4,"LINESTRING(4.88899121468023 45.7710534332504,4.842077 45.721641,4.83736856178182 45.7334291759191)"
